Posição;Município;Código do IBGE;Abreviação;Unidade federativa;Área (km²)
4404;Abaiara;2300101;CE;Ceará;179.906
866;Abaré;2900207;BA;Bahia;1 693.690
2210;Abaíra;2900108;BA;Bahia;578.359
4894;Abreu e Lima;2600054;PE;Pernambuco;125.991
3656;Acajutiba;2900306;BA;Bahia;267.662
4609;Acarapé;2300150;CE;Ceará;155.188
1631;Acaraú;2300200;CE;Ceará;842.884
2131;Acari;2400109;RN; Rio Grande do Norte;608.565
1376;Acauã;2200053;PI;Piauí;1 029.410
667;Acopiara;2300309;CE;Ceará;2 265.316
2099;Adustina;2900355;BA;Bahia;619.664
2953;Afogados da Ingazeira;2600104;PE;Pernambuco;377.863
2218;Afonso Bezerra;2400307;RN; Rio Grande do Norte;576.248
2984;Afonso Cunha;2100105;MA;Maranhão;371.247
982;Afrânio;2600203;PE;Pernambuco;1 490.615
4191;Agrestina;2600302;PE;Pernambuco;201.437
5017;Agricolândia;2200103;PI;Piauí;112.419
3141;Aguiar;2500205;PB;Paraíba;344.691
4252;Aiquara;2900603;BA;Bahia;195.174
624;Aiuaba;2300408;CE;Ceará;2 434.414
3293;Alagoa Grande;2500304;PB;Paraíba;320.558
4923;Alagoa Nova;2500403;PB;Paraíba;122.254
5255;Alagoinha;2500502;PB;Paraíba;85.060
4204;Alagoinha;2600609;PE;Pernambuco;200.422
2637;Alagoinha do Piauí;2200251;PI;Piauí;448.101
1842;Alagoinhas;2900702;BA;Bahia;733.969
3391;Alcantil;2500536;PB;Paraíba;305.391
975;Alcobaça;2900801;BA;Bahia;1 505.992
987;Alcântara;2100204;MA;Maranhão;1 483.232
4777;Alcântaras;2300507;CE;Ceará;138.598
772;Aldeias Altas;2100303;MA;Maranhão;1 942.128
3568;Alegrete do Piauí;2200277;PI;Piauí;281.271
2946;Alexandria;2400505;RN; Rio Grande do Norte;381.202
4021;Algodão de Jandaíra;2500577;PB;Paraíba;220.246
4382;Alhandra;2500601;PB;Paraíba;182.656
3627;Aliança;2600708;PE;Pernambuco;272.728
3808;Almadina;2900900;BA;Bahia;246.894
4876;Almino Afonso;2400604;RN; Rio Grande do Norte;128.029
1985;Altamira do Maranhão;2100402;MA;Maranhão;668.690
5356;Altaneira;2300606;CE;Ceará;73.296
2621;Altinho;2600807;PE;Pernambuco;454.486
2757;Alto Alegre do Maranhão;2100436;MA;Maranhão;420.874
774;Alto Alegre do Pindaré;2100477;MA;Maranhão;1 932.317
4291;Alto do Rodrigues;2400703;RN; Rio Grande do Norte;191.311
903;Alto Longá;2200301;PI;Piauí;1 621.354
123;Alto Parnaíba;2100501;MA;Maranhão;11 132.105
1092;Alto Santo;2300705;CE;Ceará;1 338.743
1465;Altos;2200400;PI;Piauí;957.617
701;Alvorada do Gurguéia;2200459;PI;Piauí;2 131.942
2657;Amapá do Maranhão;2100550;MA;Maranhão;442.319
3901;Amaraji;2600906;PE;Pernambuco;234.780
189;Amarante do Maranhão;2100600;MA;Maranhão;7 669.090
1118;Amarantedesambiguação;2200509;PI;Piauí;1 304.775
2685;Amargosa;2901007;BA;Bahia;435.932
1239;Amontada;2300754;CE;Ceará;1 179.590
5523;Amparo de São Francisco;2800100;SE;Sergipe;35.173
4926;Amparodesambiguação;2500734;PB;Paraíba;121.983
4910;Amélia Rodrigues;2901106;BA;Bahia;124.075
1824;América Dourada;2901155;BA;Bahia;743.889
4318;Anadia;2700201;AL;Alagoas;189.471
795;Anagé;2901205;BA;Bahia;1 852.554
1291;Anajatuba;2100709;MA;Maranhão;1 116.947
2134;Anapurus;2100808;MA;Maranhão;608.274
785;Andaraí;2901304;BA;Bahia;1 895.162
1214;Andorinha;2901353;BA;Bahia;1 207.680
4962;Angelim;2601003;PE;Pernambuco;118.032
895;Angical;2901403;BA;Bahia;1 638.717
4195;Angical do Piauí;2200608;PI;Piauí;201.208
1828;Angicos;2400802;RN; Rio Grande do Norte;741.654
4578;Anguera;2901502;BA;Bahia;158.729
2930;Antasdesambiguação;2901601;BA;Bahia;383.991
3704;Antonina do Norte;2300804;CE;Ceará;260.101
2017;Antônio Almeida;2200806;PI;Piauí;652.732
3478;Antônio Cardoso;2901700;BA;Bahia;293.217
3318;Antônio Gonçalves;2901809;BA;Bahia;316.131
3830;Antônio Martins;2400901;RN; Rio Grande do Norte;244.620
3241;Anísio de Abreu;2200707;PI;Piauí;326.822
3944;Aparecida;2500775;PB;Paraíba;229.153
