Personagem;Valor;Força;Energia;Jokempo
AKIHIRO;6718;34.97;85.51;Tesoura
AIKO;9109;17.55;56.08;Pedra
AKANE;8036;77.15;72.35;Pedra
AKEMI;8171;51.79;52.78;Pedra
AKIHIRO;5074;72.96;84.64;Papel
AKIKO;6522;78.64;76.35;Pedra
AMATERASU;8675;14.33;0.4;Pedra
ARATA;4919;51.76;19.12;Papel
ASAMI;1928;74.32;24.00;Tesoura
ASUKA;7351;7.58;30.01;Pedra
ATSUKO;7441;8.59;70.6;Papel
ATSUSHI;3396;16.71;61.2;Papel
AYAKA;5281;22.34;69.2;Papel
CHIEKO;4743;72.22;69.28;Tesoura
CHOUKO;4660;22.88;82.4;Pedra
DAICHI;7374;85.03;78.26;Papel
DAIKI;6351;88.61;35.58;Tesoura
DAISUKE;3555;57.36;52.71;Pedra
EIKO;2194;28.29;84.87;Pedra
FUMIKO;7539;41.07;72.64;Papel
GORO;9253;97.4;92.27;Pedra
HACHIRO;8386;19.91;28.52;Papel
HAJIME;6860;89.34;53.39;Papel
HANA;8551;92.32;82.24;Tesoura
HARUKI;4654;12.16;69.75;Tesoura
HARUMI;9050;44.36;40.92;Tesoura
HARUNA;5914;9.23;26.03;Tesoura
HARUO;5124;99.65;77.07;Pedra
HARUTO;9158;54.88;18.7;Pedra
HAYATO;8400;82.99;29.93;Tesoura
HIBIKI;9210;5.97;78.8;Papel
HIDEKI;5875;10.00;59.98;Pedra
HINA;7508;3.29;5.68;Papel
HIROKI;7246;44.03;82.07;Tesoura
HIROKO;4046;27.33;15.36;Pedra
HIROSHI;2582;51.85;11.79;Papel
HIROTO;3768;20.42;25.13;Papel
HIROYUKI;2720;42.9;28.68;Pedra
HITOSHI;6501;66.32;12.3;Papel
HONOKA;4696;96.19;65.19;Papel
HOSHI;9071;15.94;12.22;Pedra
HOSHIKO;3942;19.44;93.54;Papel
HOTAKA;7092;24.39;92.38;Pedra
HOTARU;4352;48.00;63.47;Pedra
ICHIRO;7685;16.01;55.79;Papel
ISAMU;1751;9.58;21.57;Papel
ISAO;1725;75.56;15.42;Pedra
ITSUKI;4035;65.71;72.32;Papel
IZUMI;4306;11.77;87.5;Tesoura
JIRO;2920;9.79;91.95;Pedra
JUNICHI;3559;48.94;58.85;Papel
JUNKO;1306;72.79;54.00;Tesoura
JURO;7434;89.69;15.8;Tesoura
KAITO;2109;30.38;44.98;Pedra
KAMIKO;4960;82.5;76.42;Papel
KANAKO;6484;33.6;38.66;Pedra
KANON;7024;92.01;69.3;Papel
KAORI;9085;73.11;34.42;Papel
KASUMI;5641;96.63;2.96;Pedra
KATASHI;5423;80.49;39.35;Tesoura
KATSUMI;8295;26.17;59.45;Papel
KATSUO;1516;36.71;13.03;Pedra
KATSURO;2931;37.48;52.93;Tesoura
KAZUO;1573;49.08;91.89;Papel
KEIKO;5540;62.57;18.11;Tesoura
KIMI;4562;97.55;69.92;Pedra
KIMIKO;4513;48.87;27.47;Papel
KIYOKO;8308;57.9;82.68;Pedra
KIYOMI;6282;66.88;91.02;Tesoura
KIYOSHI;1013;2.23;41.38;Pedra
KOKORO;3004;82.95;1.93;Pedra
