N_EBOOK;TITULO;AUTOR;MES;ANO;LINK
267322;The Opal Pin;Rufus H Gillmore;Nov;2019;http://gutenberg.net.au/ebooks19/1901131h.html
267306;Trail Smoke;Ernest Haycox;Nov;2019;http://gutenberg.net.au/ebooks19/1901121h.html
267290;The Red Ledger;Frank L Packard;Nov;2019;http://gutenberg.net.au/ebooks19/1901111h.html
267162;Corporal Bob;Frank L Packard;Nov;2019;http://gutenberg.net.au/ebooks19/1901091h.html
267146;Coogan's Last Run;Frank L Packard;Nov;2019;http://gutenberg.net.au/ebooks19/1901081h.html
267130;The Whispering Lane;Fergus Hume;Nov;2019;http://gutenberg.net.au/ebooks19/1901071h.html
267114;Leathermouth;Carlton Dawe;Oct;2019;http://gutenberg.net.au/ebooks19/1901061h.html
267098;More Lives than One;Carolyn Wells;Oct;2019;http://gutenberg.net.au/ebooks19/1901051h.html
267082;Chaffee of Roaring Horse;Ernest Haycox;Oct;2019;http://gutenberg.net.au/ebooks19/1901041h.html
267066;A Voyage to New South Wales;William Bradley;Oct;2019;http://gutenberg.net.au/ebooks19/1901031h.html
267050;The Vanity Case;Carolyn Wells;Sep;2019;http://gutenberg.net.au/ebooks19/1901021h.html
267034;The Feudists;Ernest Haycox;Sep;2019;http://gutenberg.net.au/ebooks19/1901011h.html
266906;The Knot Garden;Marjorie Bowen;Sep;2019;http://gutenberg.net.au/ebooks19/1900991h.html
266874;Child of Chequer'd Fortune;Marjorie Bowen;Sep;2019;http://gutenberg.net.au/ebooks19/1900971h.html
266842;The Wedding Chest Mystery;A. Fielding;Aug;2019;http://gutenberg.net.au/ebooks19/1900951h.html
266826;The Charteris Mystery;A. Fielding;Aug;2019;http://gutenberg.net.au/ebooks19/1900941h.html
266810;A Rider of the High Mesa;Ernest Haycox;Aug;2019;http://gutenberg.net.au/ebooks19/1900931h.html
266794;Collected Short Stories;Carolyn Wells;Aug;2019;http://gutenberg.net.au/ebooks19/1900921h.html
266778;The Skeleton at the Feast;Carolyn Wells;Aug;2019;http://gutenberg.net.au/ebooks19/1900911h.html
266650;The White Witch;Jack McLaren;Aug;2019;http://gutenberg.net.au/ebooks19/1900891h.html
266634;The Tapestry Room Murder;Carolyn Wells;Aug;2019;http://gutenberg.net.au/ebooks19/1900881h.html
